timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2026/06/25 15:49:03.435, 87 %, 89 %, 3455 MiB, 60
2026/06/25 15:49:03.537, 87 %, 89 %, 3455 MiB, 60
2026/06/25 15:49:03.643, 87 %, 89 %, 3455 MiB, 60
2026/06/25 15:49:03.745, 85 %, 87 %, 3455 MiB, 60
2026/06/25 15:49:03.847, 85 %, 87 %, 3455 MiB, 60
2026/06/25 15:49:03.950, 87 %, 89 %, 3455 MiB, 60
2026/06/25 15:49:04.051, 87 %, 89 %, 3455 MiB, 61
2026/06/25 15:49:04.153, 86 %, 88 %, 3455 MiB, 61
2026/06/25 15:49:04.256, 86 %, 88 %, 3455 MiB, 61
2026/06/25 15:49:04.358, 87 %, 89 %, 3455 MiB, 61
2026/06/25 15:49:04.460, 87 %, 89 %, 3455 MiB, 61
2026/06/25 15:49:04.562, 86 %, 88 %, 3455 MiB, 61
2026/06/25 15:49:04.664, 86 %, 88 %, 3455 MiB, 61
2026/06/25 15:49:04.766, 87 %, 89 %, 3455 MiB, 61
2026/06/25 15:49:04.868, 87 %, 89 %, 3455 MiB, 61
2026/06/25 15:49:04.971, 86 %, 88 %, 3455 MiB, 61
2026/06/25 15:49:05.073, 86 %, 88 %, 3455 MiB, 62
2026/06/25 15:49:05.175, 87 %, 89 %, 3455 MiB, 62
2026/06/25 15:49:05.276, 87 %, 89 %, 3455 MiB, 62
2026/06/25 15:49:05.378, 83 %, 85 %, 3455 MiB, 62
2026/06/25 15:49:05.481, 83 %, 85 %, 3455 MiB, 62
2026/06/25 15:49:05.583, 87 %, 89 %, 3455 MiB, 62
2026/06/25 15:49:05.686, 87 %, 89 %, 3455 MiB, 62
2026/06/25 15:49:05.788, 83 %, 84 %, 3455 MiB, 62
2026/06/25 15:49:05.890, 83 %, 84 %, 3455 MiB, 62
2026/06/25 15:49:05.992, 86 %, 88 %, 3455 MiB, 62
2026/06/25 15:49:06.093, 86 %, 88 %, 3455 MiB, 62
2026/06/25 15:49:06.195, 87 %, 89 %, 3455 MiB, 62
2026/06/25 15:49:06.297, 87 %, 89 %, 3455 MiB, 62
2026/06/25 15:49:06.398, 87 %, 89 %, 3455 MiB, 62
2026/06/25 15:49:06.501, 87 %, 89 %, 3455 MiB, 62
2026/06/25 15:49:06.609, 86 %, 89 %, 3455 MiB, 62
2026/06/25 15:49:06.712, 86 %, 89 %, 3455 MiB, 62
2026/06/25 15:49:06.814, 87 %, 89 %, 3455 MiB, 62
2026/06/25 15:49:06.916, 87 %, 89 %, 3455 MiB, 62
2026/06/25 15:49:07.018, 84 %, 86 %, 3455 MiB, 62
2026/06/25 15:49:07.119, 86 %, 89 %, 3455 MiB, 62
2026/06/25 15:49:07.221, 86 %, 89 %, 3455 MiB, 62
2026/06/25 15:49:07.322, 87 %, 89 %, 3455 MiB, 62
2026/06/25 15:49:07.439, 87 %, 89 %, 3455 MiB, 62
2026/06/25 15:49:07.541, 86 %, 89 %, 3455 MiB, 62
2026/06/25 15:49:07.644, 86 %, 89 %, 3455 MiB, 62
2026/06/25 15:49:07.746, 88 %, 90 %, 3455 MiB, 62
2026/06/25 15:49:07.847, 88 %, 90 %, 3455 MiB, 62
2026/06/25 15:49:07.949, 87 %, 89 %, 3455 MiB, 62
2026/06/25 15:49:08.050, 87 %, 89 %, 3455 MiB, 62
2026/06/25 15:49:08.151, 87 %, 90 %, 3455 MiB, 63
2026/06/25 15:49:08.254, 87 %, 90 %, 3455 MiB, 63
2026/06/25 15:49:08.355, 86 %, 88 %, 3455 MiB, 63
2026/06/25 15:49:08.458, 86 %, 88 %, 3455 MiB, 63
2026/06/25 15:49:08.560, 87 %, 90 %, 3455 MiB, 63
2026/06/25 15:49:08.661, 87 %, 90 %, 3455 MiB, 63
2026/06/25 15:49:08.763, 85 %, 88 %, 3455 MiB, 63
2026/06/25 15:49:08.864, 85 %, 88 %, 3455 MiB, 63
2026/06/25 15:49:08.966, 87 %, 89 %, 3455 MiB, 63
2026/06/25 15:49:09.067, 87 %, 89 %, 3455 MiB, 63
2026/06/25 15:49:09.169, 86 %, 89 %, 3455 MiB, 63
2026/06/25 15:49:09.271, 86 %, 89 %, 3455 MiB, 63
2026/06/25 15:49:09.373, 88 %, 90 %, 3455 MiB, 63
2026/06/25 15:49:09.475, 88 %, 90 %, 3455 MiB, 63
2026/06/25 15:49:09.577, 86 %, 89 %, 3455 MiB, 63
2026/06/25 15:49:09.686, 86 %, 89 %, 3455 MiB, 63
2026/06/25 15:49:09.788, 85 %, 86 %, 3455 MiB, 63
2026/06/25 15:49:09.890, 85 %, 86 %, 3455 MiB, 63
2026/06/25 15:49:09.992, 87 %, 89 %, 3455 MiB, 63
2026/06/25 15:49:10.093, 87 %, 89 %, 3455 MiB, 63
2026/06/25 15:49:10.194, 86 %, 89 %, 3455 MiB, 63
2026/06/25 15:49:10.297, 86 %, 89 %, 3455 MiB, 63
2026/06/25 15:49:10.399, 86 %, 88 %, 3455 MiB, 63
2026/06/25 15:49:10.500, 86 %, 88 %, 3455 MiB, 63
2026/06/25 15:49:10.604, 88 %, 90 %, 3455 MiB, 63
2026/06/25 15:49:10.707, 88 %, 90 %, 3455 MiB, 64
2026/06/25 15:49:10.809, 86 %, 89 %, 3455 MiB, 64
2026/06/25 15:49:10.911, 86 %, 89 %, 3455 MiB, 64
2026/06/25 15:49:11.016, 87 %, 90 %, 3455 MiB, 64
2026/06/25 15:49:11.118, 87 %, 89 %, 3455 MiB, 64
2026/06/25 15:49:11.220, 87 %, 89 %, 3455 MiB, 64
2026/06/25 15:49:11.321, 84 %, 87 %, 3455 MiB, 64
2026/06/25 15:49:11.442, 84 %, 87 %, 3455 MiB, 64
2026/06/25 15:49:11.544, 87 %, 89 %, 3455 MiB, 64
2026/06/25 15:49:11.697, 87 %, 89 %, 3455 MiB, 64
2026/06/25 15:49:11.800, 87 %, 90 %, 3455 MiB, 64
2026/06/25 15:49:11.902, 87 %, 90 %, 3455 MiB, 64
2026/06/25 15:49:12.004, 84 %, 87 %, 3455 MiB, 64
2026/06/25 15:49:12.107, 84 %, 87 %, 3455 MiB, 64
2026/06/25 15:49:12.209, 85 %, 87 %, 3455 MiB, 64
2026/06/25 15:49:12.311, 85 %, 87 %, 3455 MiB, 64
2026/06/25 15:49:12.413, 87 %, 89 %, 3455 MiB, 64
