timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2026/06/25 16:04:25.197, 45 %, 3 %, 3561 MiB, 52
2026/06/25 16:04:25.299, 13 %, 9 %, 3561 MiB, 52
2026/06/25 16:04:25.400, 13 %, 9 %, 3561 MiB, 52
2026/06/25 16:04:25.502, 0 %, 0 %, 3561 MiB, 52
2026/06/25 16:04:25.604, 0 %, 0 %, 3561 MiB, 53
2026/06/25 16:04:25.706, 0 %, 0 %, 3561 MiB, 53
2026/06/25 16:04:25.808, 0 %, 0 %, 3561 MiB, 53
2026/06/25 16:04:25.924, 0 %, 0 %, 3561 MiB, 53
2026/06/25 16:04:26.025, 0 %, 0 %, 3571 MiB, 53
2026/06/25 16:04:26.127, 0 %, 0 %, 3571 MiB, 53
2026/06/25 16:04:26.229, 8 %, 8 %, 3571 MiB, 53
2026/06/25 16:04:26.342, 8 %, 8 %, 3571 MiB, 53
2026/06/25 16:04:26.444, 0 %, 0 %, 3571 MiB, 53
2026/06/25 16:04:26.545, 0 %, 0 %, 3571 MiB, 53
2026/06/25 16:04:26.647, 0 %, 0 %, 3571 MiB, 53
2026/06/25 16:04:26.749, 0 %, 0 %, 3571 MiB, 53
2026/06/25 16:04:26.851, 0 %, 0 %, 3571 MiB, 53
2026/06/25 16:04:26.953, 0 %, 0 %, 3571 MiB, 53
2026/06/25 16:04:27.054, 0 %, 0 %, 3571 MiB, 53
2026/06/25 16:04:27.156, 0 %, 0 %, 3571 MiB, 52
2026/06/25 16:04:27.259, 0 %, 0 %, 3571 MiB, 52
2026/06/25 16:04:27.360, 0 %, 0 %, 3571 MiB, 52
2026/06/25 16:04:27.462, 0 %, 0 %, 3571 MiB, 52
2026/06/25 16:04:27.564, 0 %, 0 %, 3571 MiB, 52
2026/06/25 16:04:27.666, 0 %, 0 %, 3571 MiB, 52
2026/06/25 16:04:27.768, 0 %, 0 %, 3571 MiB, 52
2026/06/25 16:04:27.869, 0 %, 0 %, 3571 MiB, 52
2026/06/25 16:04:27.976, 0 %, 0 %, 3571 MiB, 52
2026/06/25 16:04:28.078, 0 %, 0 %, 3571 MiB, 52
2026/06/25 16:04:28.180, 0 %, 0 %, 3571 MiB, 52
2026/06/25 16:04:28.282, 0 %, 0 %, 3571 MiB, 52
2026/06/25 16:04:28.384, 0 %, 0 %, 3571 MiB, 52
2026/06/25 16:04:28.485, 0 %, 0 %, 3571 MiB, 52
2026/06/25 16:04:28.587, 0 %, 0 %, 3571 MiB, 52
2026/06/25 16:04:28.689, 0 %, 0 %, 3571 MiB, 52
2026/06/25 16:04:28.791, 0 %, 0 %, 3571 MiB, 52
2026/06/25 16:04:28.893, 0 %, 0 %, 3571 MiB, 52
2026/06/25 16:04:28.995, 0 %, 0 %, 3571 MiB, 52
2026/06/25 16:04:29.096, 0 %, 0 %, 3571 MiB, 52
2026/06/25 16:04:29.198, 0 %, 0 %, 3571 MiB, 52
2026/06/25 16:04:29.300, 0 %, 0 %, 3571 MiB, 52
2026/06/25 16:04:29.402, 0 %, 0 %, 3571 MiB, 52
2026/06/25 16:04:29.504, 0 %, 0 %, 3571 MiB, 52
2026/06/25 16:04:29.605, 0 %, 0 %, 3571 MiB, 52
2026/06/25 16:04:29.707, 0 %, 0 %, 3571 MiB, 52
2026/06/25 16:04:29.809, 0 %, 0 %, 3571 MiB, 52
2026/06/25 16:04:29.911, 0 %, 0 %, 3571 MiB, 52
2026/06/25 16:04:30.013, 0 %, 0 %, 3571 MiB, 52
2026/06/25 16:04:30.115, 0 %, 0 %, 3571 MiB, 52
2026/06/25 16:04:30.217, 0 %, 0 %, 3571 MiB, 52
2026/06/25 16:04:30.319, 0 %, 0 %, 3571 MiB, 52
2026/06/25 16:04:30.420, 0 %, 0 %, 3571 MiB, 52
2026/06/25 16:04:30.522, 0 %, 0 %, 3571 MiB, 52
2026/06/25 16:04:30.624, 0 %, 0 %, 3571 MiB, 52
2026/06/25 16:04:30.725, 0 %, 0 %, 3571 MiB, 52
2026/06/25 16:04:30.827, 0 %, 0 %, 3571 MiB, 52
2026/06/25 16:04:30.929, 0 %, 0 %, 3571 MiB, 52
2026/06/25 16:04:31.031, 0 %, 2 %, 3571 MiB, 52
2026/06/25 16:04:31.133, 0 %, 2 %, 3571 MiB, 52
2026/06/25 16:04:31.235, 0 %, 2 %, 3571 MiB, 52
2026/06/25 16:04:31.337, 0 %, 2 %, 3571 MiB, 52
2026/06/25 16:04:31.439, 0 %, 2 %, 3571 MiB, 52
2026/06/25 16:04:31.541, 0 %, 2 %, 3571 MiB, 52
2026/06/25 16:04:31.644, 0 %, 2 %, 3571 MiB, 52
2026/06/25 16:04:31.746, 0 %, 2 %, 3571 MiB, 52
2026/06/25 16:04:31.856, 0 %, 11 %, 3571 MiB, 52
2026/06/25 16:04:31.958, 0 %, 11 %, 3571 MiB, 52
2026/06/25 16:04:32.060, 1 %, 5 %, 3571 MiB, 52
2026/06/25 16:04:32.163, 1 %, 5 %, 3571 MiB, 52
2026/06/25 16:04:32.265, 0 %, 5 %, 3571 MiB, 52
2026/06/25 16:04:32.368, 0 %, 5 %, 3571 MiB, 52
2026/06/25 16:04:32.470, 0 %, 5 %, 3571 MiB, 52
2026/06/25 16:04:32.572, 0 %, 5 %, 3571 MiB, 52
2026/06/25 16:04:32.675, 0 %, 5 %, 3571 MiB, 52
